,original_title,keywords_log_rr,med_keywords_log_rr,keywords_log_rr0,keywords_log_rr1,keywords_log_rr2,keywords_log_rr3,keywords_log_rr4,keywords_log_rr-1,genre_log_rr,med_genre_log_rr,genre_log_rr0,genre_log_rr1,genre_log_rr2,genre_log_rr-1,plotkw_log_rr,med_plotkw_log_rr,plotkw_log_rr0,plotkw_log_rr1,plotkw_log_rr2,plotkw_log_rr3,plotkw_log_rr4,plotkw_log_rr-1
20,2 Fast 2 Furious,"[5.113189575, 3.059489259210526, 3.013344937857143, 2.1098771184210525, 1.9545695492105262, 1.3074603013071895]",2.561611028139098,5.113189575,3.059489259210526,3.013344937857143,2.1098771184210525,1.9545695492105262,1.3074603013071895,"[nan, nan, nan, nan, nan, nan]",,,,,,"[1.1345832136488132, 1.1249179676380514, 1.0602484329989386, 0.9677486550429775, 0.6715989315494896]",1.0602484329989386,1.1345832136488132,1.1249179676380514,1.0602484329989386,0.9677486550429775,0.6715989315494896,0.6715989315494896
21,2 Guns,"[2.063671520608108, 1.7612558292279412, 1.7265014444444444, 1.4751356236885247, 1.1327847633039092, 0.7613897260569457, 0.6711638928571428]",1.4751356236885247,2.063671520608108,1.7612558292279412,1.7265014444444444,1.4751356236885247,1.1327847633039092,0.6711638928571428,"[nan, nan, nan, nan, nan, nan, nan]",,,,,,"[0.7753673801918333, 0.7714765246688582, 0.7714765246688582, 0.7431803667291272, 0.6000138777636352]",0.7714765246688582,0.7753673801918333,0.7714765246688582,0.7714765246688582,0.7431803667291272,0.6000138777636352,0.6000138777636352
24,"20,000 Leagues Under the Sea","[4.64, 4.64, 4.64, 4.64, 4.64, 4.64, 4.64, 4.64, 4.64, 3.4444444444444446, 2.5233447066666663, 2.1480858863636363, 2.00540294, 1.6570048309178744, 1.5072533615384616, 1.2556962173913044, 1.1063116296296296]",4.64,4.64,4.64,4.64,4.64,4.64,1.1063116296296296,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",,,,,,"[1.7298840655099674, 1.6438393391514328, 1.1992813278838064, 1.0122837426111995, 0.5372778216659526]",1.1992813278838064,1.7298840655099674,1.6438393391514328,1.1992813278838064,1.0122837426111995,0.5372778216659526,0.5372778216659526
25,"20,000 Leagues Under the Sea","[4.64, 4.64, 4.64, 4.64, 4.64, 4.64, 4.64, 4.64, 4.64, 3.4444444444444446, 2.5233447066666663, 2.1480858863636363, 2.00540294, 1.6570048309178744, 1.5072533615384616, 1.2556962173913044, 1.1063116296296296]",4.64,4.64,4.64,4.64,4.64,4.64,1.1063116296296296,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",,,,,,"[1.7298840655099674, 1.6438393391514328, 1.1992813278838064, 1.0122837426111995, 0.5372778216659526]",1.1992813278838064,1.7298840655099674,1.6438393391514328,1.1992813278838064,1.0122837426111995,0.5372778216659526,0.5372778216659526
26,200 Cigarettes,"[1.64488104, 1.4929199666666666, 1.11989043, 0.01659120656599093, -0.03307974999999999]",1.11989043,1.64488104,1.4929199666666666,1.11989043,0.01659120656599093,-0.03307974999999999,-0.03307974999999999,"[nan, nan, nan, nan, nan]",,,,,,"[1.1539195170408725, 0.833135836364107, 0.6672490279288549, 0.42744401482693967, 0.14768784805716295]",0.6672490279288549,1.1539195170408725,0.833135836364107,0.6672490279288549,0.42744401482693967,0.14768784805716295,0.14768784805716295
27,2001: A Space Odyssey,"[5.542857142857143, 4.124993845454545, 3.939562, 3.247438971428571, 2.7941209574054056, 2.289908233333333, 1.86343952, 1.3562879452941177, 1.22681602, 1.2258321125, 0.9828328, 0.9448877948717949, 0.8728621866666667, 0.8310525894273127]",1.6098637326470588,5.542857142857143,4.124993845454545,3.939562,3.247438971428571,2.7941209574054056,0.8310525894273127,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",,,,,,"[1.878373942064826, 1.878373942064826, 1.878373942064826, 1.2604656295671295, 0.6309818250742523]",1.878373942064826,1.878373942064826,1.878373942064826,1.878373942064826,1.2604656295671295,0.6309818250742523,0.6309818250742523
28,2012,"[3.1032471333333334, 2.848267975, 2.848267975, 2.848267975, 2.848267975, 2.848267975, 2.848267975, 1.9136732375, 1.659325, 0.8728621866666667, 0.3354391277890466]",2.848267975,3.1032471333333334,2.848267975,2.848267975,2.848267975,2.848267975,0.3354391277890466,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",,,,,,"[1.0565957018809204, 0.7176058964662786, 0.6860910562232243, 0.5962717351784723, 0.08033682220549843]",0.6860910562232243,1.0565957018809204,0.7176058964662786,0.6860910562232243,0.5962717351784723,0.08033682220549843,0.08033682220549843
29,2016: Obama's America,[],,0.0,0.0,0.0,0.0,0.0,0.0,[],,0.0,0.0,0.0,0.0,"[2.5922651681085, 2.5922651681085, 2.5922651681085, 0.4131413535378557, -0.21030667010393334]",2.5922651681085,2.5922651681085,2.5922651681085,2.5922651681085,0.4131413535378557,-0.21030667010393334,-0.21030667010393334
30,2046,"[3.625, 2.5785122727272727, 2.213768145862069, 2.0685016136363634, 1.960072225, 1.8482183125, 1.8127316842857142, 1.7079188428571428, 1.704766, 1.682915103372434, 1.5991228863636362, 1.4937108923076923, 1.4929199666666666, 1.4269816666666668, 1.2941810125, 1.2329302884615385, 1.08956832, 0.8993428571428571, 0.8438175580524345, 0.8271364684210527, 0.6059426666666666, 0.6059426666666666]",1.5464168893356642,3.625,2.5785122727272727,2.213768145862069,2.0685016136363634,1.960072225,0.6059426666666666,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",,,,,,"[0.8005044817666711, 0.5324681577807489, 0.4737109154269721, -0.34325116170212006, -1.1185219699786826]",0.4737109154269721,0.8005044817666711,0.5324681577807489,0.4737109154269721,-0.34325116170212006,-1.1185219699786826,-1.1185219699786826
31,21,"[4.329494247619047, 2.1737235859375, 1.8563732889285713, 1.59628625, 0.9949485428571428, 0.9949485428571428, 0.9949485428571428, 0.8250316093023256, 0.8237937598039216, 0.20534583333333334, -0.10996057142857144]",0.9949485428571428,4.329494247619047,2.1737235859375,1.8563732889285713,1.59628625,0.9949485428571428,-0.10996057142857144,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",,,,,,"[0.6906182569551166, 0.6906182569551166, 0.6906182569551166, 0.6569035972732966, 0.4490641710020551]",0.6906182569551166,0.6906182569551166,0.6906182569551166,0.6906182569551166,0.6569035972732966,0.4490641710020551,0.4490641710020551
32,21 & Over,"[2.6973593846153845, 2.0772723952116388, 1.989110694074074]",2.0772723952116388,2.6973593846153845,2.0772723952116388,1.989110694074074,0.0,0.0,1.989110694074074,"[nan, nan, nan]",,,,,,"[1.3076188850258132, 1.3076188850258132, 1.3076188850258132, 1.3076188850258132, 0.10856413361946624]",1.3076188850258132,1.3076188850258132,1.3076188850258132,1.3076188850258132,1.3076188850258132,0.10856413361946624,0.10856413361946624
33,21 Grams,"[3.325247153030303, 2.032743396226415, 2.02139195, 2.02139195, 1.5972133338607595, 1.4293413115384617, 1.1355896194444444, 0.980362475, 0.4093318958333333]",1.5972133338607595,3.325247153030303,2.032743396226415,2.02139195,2.02139195,1.5972133338607595,0.4093318958333333,"[nan, nan, nan, nan, nan, nan, nan, nan, nan]",,,,,,"[1.5008083029519637, 1.3796537417692676, 1.1057176357961431, 0.9539263328517993, 0.7928559679910401]",1.1057176357961431,1.5008083029519637,1.3796537417692676,1.1057176357961431,0.9539263328517993,0.7928559679910401,0.7928559679910401
34,21 Jump Street,"[3.7996506666666665, 2.9189372, 2.6900972093023254, 2.5766509805555557, 2.065289, 2.056391216216216, 2.0272653660714286, 2.020731449671053, 1.820650430357143]",2.065289,3.7996506666666665,2.9189372,2.6900972093023254,2.5766509805555557,2.065289,1.820650430357143,"[nan, nan, nan, nan, nan, nan, nan, nan, nan]",,,,,,"[1.3779635701711501, 1.3765953664569137, 1.2073307846444863, 0.8059699072651183, 0.7042889012612826]",1.2073307846444863,1.3779635701711501,1.3765953664569137,1.2073307846444863,0.8059699072651183,0.7042889012612826,0.7042889012612826
35,22 Jump Street,"[2.6900972093023254, 2.119666655, 2.065289, 2.0272653660714286, 1.820650430357143]",2.065289,2.6900972093023254,2.119666655,2.065289,2.0272653660714286,1.820650430357143,1.820650430357143,"[nan, nan, nan, nan, nan]",,,,,,"[1.326765213427511, 0.8933316326974879, 0.8703455396619532, 0.8475029822054279, 0.7753673801918333]",0.8703455396619532,1.326765213427511,0.8933316326974879,0.8703455396619532,0.8475029822054279,0.7753673801918333,0.7753673801918333
37,25th Hour,"[2.5766509805555557, 2.5341179375, 2.1737235859375, 2.119666655, 1.1877828936170214, 1.1389492558139536, 0.8984770666666667, 0.5908569375, 0.5278588375000001, 0.4765771714285714, -0.10996057142857144]",1.1389492558139536,2.5766509805555557,2.5341179375,2.1737235859375,2.119666655,1.1877828936170214,-0.10996057142857144,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",,,,,,"[0.9334596980490362, 0.6968352047638429, 0.5789623877209724, 0.2443335882613794, -0.1384315310981756]",0.5789623877209724,0.9334596980490362,0.6968352047638429,0.5789623877209724,0.2443335882613794,-0.1384315310981756,-0.1384315310981756
38,27 Dresses,"[4.3419773, 4.3419773, 3.2396281538461538, 3.208167327272727, 3.02425335, 1.9905387346153847, 1.9076395376958915, 1.9054309837121213, 1.8482183125, 1.8018494147727273, 1.4929199666666666, 1.42295562, 1.1786738, 1.019078282247191, 1.0033352, 0.4630699]",1.8768246481060606,4.3419773,4.3419773,3.2396281538461538,3.208167327272727,3.02425335,0.4630699,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",,,,,,"[1.675595865333926, 1.132813036489251, 1.0730298872775133, 0.833135836364107, 0.7928559679910401]",1.0730298872775133,1.675595865333926,1.132813036489251,1.0730298872775133,0.833135836364107,0.7928559679910401,0.7928559679910401
40,28 Weeks Later,"[4.326299371621621, 4.020563273333333, 4.020563273333333, 3.37110484, 3.2825626666666667, 3.2825626666666667, 3.2825626666666667, 3.2825626666666667, 3.2825626666666667, 3.2825626666666667, 3.2804273333333334, 3.0780617424242425, 2.6947577692307694, 2.598876111111111, 2.475314083974359, 2.4507773142857143, 2.2782089126984126, 2.08790670505618, 1.9529440110389609, 1.8653600261904761, 1.5972133338607595, 1.4940025512820514, 1.2010376165217391]",3.0780617424242425,4.326299371621621,4.020563273333333,4.020563273333333,3.37110484,3.2825626666666667,1.2010376165217391,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",,,,,,"[1.4545515843061938, 1.4545515843061938, 1.373131614020067, 1.2859918704160642, 0.478738901180094]",1.373131614020067,1.4545515843061938,1.4545515843061938,1.373131614020067,1.2859918704160642,0.478738901180094,0.478738901180094
43,3 Days to Kill,"[1.3690965346153847, 1.3422730328571428, 0.8079646586134455]",1.3422730328571428,1.3690965346153847,1.3422730328571428,0.8079646586134455,0.0,0.0,0.8079646586134455,"[nan, nan, nan]",,,,,,"[0.985906342752009, 0.8059050031695155, 0.6789174897067332, 0.6304735670197567, 0.5107492458492718]",0.6789174897067332,0.985906342752009,0.8059050031695155,0.6789174897067332,0.6304735670197567,0.5107492458492718,0.5107492458492718
45,3 Strikes,[1.055470005],1.055470005,1.055470005,0.0,0.0,0.0,0.0,1.055470005,[nan],,,0.0,0.0,,"[0.9334596980490362, 0.41056879386954204, 0.4054651081081644, 0.4054651081081644, 0.4054651081081644]",0.4054651081081644,0.9334596980490362,0.41056879386954204,0.4054651081081644,0.4054651081081644,0.4054651081081644,0.4054651081081644
46,30 Days of Night,"[2.6193430022727275, 2.308241613333333, 1.8039995033333334, 1.7720114625, 1.5168657666666667, 1.5168657666666667, 1.3655138833333333, 1.2927978587912088, 1.213237551020408]",1.5168657666666667,2.6193430022727275,2.308241613333333,1.8039995033333334,1.7720114625,1.5168657666666667,1.213237551020408,"[nan, nan, nan, nan, nan, nan, nan, nan, nan]",,,,,,"[1.3003730171497387, 1.0257760760291637, 0.8751984515763791, 0.6964634149019004, 0.4954198043155739]",0.8751984515763791,1.3003730171497387,1.0257760760291637,0.8751984515763791,0.6964634149019004,0.4954198043155739,0.4954198043155739
